traj_side_20_x,traj_side_40_x,traj_side_60_x,traj_side_20_y,traj_side_40_y,traj_side_60_y,traj_dir_20_x,traj_dir_40_x,traj_dir_60_x,traj_dir_20_y,traj_dir_40_y,traj_dir_60_y,loc_pos_feet_right_x,loc_pos_feet_right_z,loc_pos_feet_right_y,loc_pos_feet_left_x,loc_pos_feet_left_z,loc_pos_feet_left_y,loc_vel_feet_right_x,loc_vel_feet_right_z,loc_vel_feet_right_y,loc_vel_feet_left_x,loc_vel_feet_left_z,loc_vel_feet_left_y,loc_vel_pelvis_x,loc_vel_pelvis_z,loc_vel_pelvis_y
-1.152352,-2.96107,-5.277847,14.620379,49.161484,108.456726,-0.017577,-0.032518,-0.034901,0.999846,0.999471,0.999391,-7.516123,11.388092,8.029984,9.375376,16.417488,-2.196463,0.00586,0.026481,-0.056217,-0.101322,0.006184,0.684488,-0.039633,0.067203,0.238121
-1.098102,-2.834501,-5.126628,14.581952,49.082054,108.359352,-0.017475,-0.032517,-0.034939,0.999847,0.999471,0.999389,-7.535758,11.33194,8.012047,9.370216,16.461433,-1.77732,0.006355,0.027228,-0.056453,-0.093379,0.001353,0.683037,-0.037911,0.065165,0.236353
-1.068612,-2.76798,-5.048818,14.538682,48.998047,108.259621,-0.017473,-0.032505,-0.034979,0.999847,0.999471,0.999388,-7.579944,11.308372,8.027285,9.351697,16.456169,-1.475953,0.00646,0.027838,-0.056314,-0.087648,-0.001039,0.677869,-0.037328,0.0629,0.234378
-1.049549,-2.726965,-5.002047,14.497909,48.920216,108.168221,-0.017515,-0.032498,-0.03502,0.999847,0.999472,0.999387,-7.629313,11.295021,8.060078,9.327629,16.428764,-1.267483,0.006484,0.02825,-0.056136,-0.083732,-0.002526,0.671807,-0.036989,0.061049,0.232508
-1.03583,-2.698725,-4.970706,14.461884,48.85247,108.089233,-0.017577,-0.032498,-0.035058,0.999846,0.999472,0.999385,-7.675463,11.285011,8.099709,9.304372,16.394402,-1.127091,0.006495,0.028514,-0.055964,-0.080797,-0.003416,0.665833,-0.036714,0.059675,0.230857
-1.02526,-2.677894,-4.948225,14.430898,48.795074,108.022736,-0.017648,-0.032505,-0.035096,0.999844,0.999472,0.999384,-7.715169,11.276543,8.140169,9.284791,16.360619,-1.035003,0.006503,0.028682,-0.055805,-0.07844,-0.003902,0.660364,-0.036454,0.058679,0.229439
-1.016752,-2.661741,-4.931251,14.404517,48.746948,107.967247,-0.017723,-0.032517,-0.035131,0.999843,0.999471,0.999383,-7.74786,11.269249,8.178435,9.26954,16.330513,-0.976229,0.006511,0.028785,-0.055658,-0.07647,-0.004136,0.655539,-0.036199,0.057948,0.228231
-1.009664,-2.648727,-4.917911,14.382011,48.70649,107.920799,-0.017796,-0.032533,-0.035163,0.999842,0.999471,0.999382,-7.774102,11.263084,8.21325,9.258254,16.304939,-0.939979,0.006519,0.028848,-0.055523,-0.074775,-0.004217,0.651341,-0.035947,0.057399,0.227198
-1.003808,-2.638293,-4.907486,14.36285,48.672634,107.882126,-0.017869,-0.032551,-0.035194,0.99984,0.99947,0.99938,-7.794904,11.257927,8.243939,9.250227,16.283562,-0.918656,0.006521,0.02889,-0.055402,-0.073308,-0.004207,0.647717,-0.03571,0.056978,0.226311
-0.998907,-2.629811,-4.899245,14.346437,48.644073,107.849655,-0.017939,-0.03257,-0.035223,0.999839,0.999469,0.999379,-7.811307,11.25367,8.270546,9.244706,16.265785,-0.907051,0.006518,0.028919,-0.055291,-0.072025,-0.004142,0.644581,-0.035489,0.056648,0.225542
-0.994733,-2.622797,-4.89262,14.33221,48.619701,107.822044,-0.018007,-0.03259,-0.03525,0.999838,0.999469,0.999379,-7.824238,11.250191,8.293443,9.241045,16.250954,-0.901658,0.006513,0.028942,-0.05519,-0.070889,-0.004045,0.641842,-0.035281,0.056382,0.224868
-0.990866,-2.616334,-4.886538,14.31939,48.598022,107.797554,-0.01807,-0.032608,-0.035275,0.999837,0.999468,0.999378,-7.834459,11.247658,8.313611,9.238548,16.238686,-0.899963,0.006509,0.028966,-0.055077,-0.069821,-0.003918,0.639387,-0.035078,0.05615,0.224258
-0.987322,-2.610315,-4.880838,14.307899,48.578854,107.775955,-0.018127,-0.032625,-0.035299,0.999836,0.999468,0.999377,-7.842791,11.245834,8.33142,9.236853,16.228378,-0.90008,0.006503,0.028989,-0.054965,-0.068827,-0.003786,0.637189,-0.034889,0.055947,0.223707
-0.984033,-2.604795,-4.875642,14.297611,48.561901,107.756935,-0.018182,-0.032642,-0.035321,0.999835,0.999467,0.999376,-7.849616,11.244545,8.347083,9.23579,16.219551,-0.901197,0.006497,0.029013,-0.054858,-0.067898,-0.003649,0.635203,-0.034707,0.05577,0.223211
-0.980979,-2.599745,-4.870935,14.288359,48.546829,107.740067,-0.018236,-0.032659,-0.035342,0.999834,0.999467,0.999375,-7.855238,11.243645,8.360816,9.235241,16.21183,-0.902841,0.006491,0.029038,-0.054756,-0.06703,-0.003507,0.633392,-0.034532,0.055615,0.222762
-0.978144,-2.595129,-4.866673,14.279978,48.533314,107.724976,-0.018289,-0.032676,-0.035361,0.999833,0.999466,0.999375,-7.859901,11.24305,8.372849,9.2351,16.204964,-0.904733,0.006483,0.029065,-0.054659,-0.066219,-0.003363,0.631724,-0.034363,0.055481,0.222353
-0.975508,-2.590909,-4.862809,14.272321,48.521072,107.711349,-0.018341,-0.032692,-0.03538,0.999832,0.999465,0.999374,-7.863801,11.242668,8.383423,9.235283,16.198776,-0.906702,0.006476,0.029092,-0.054568,-0.065459,-0.003217,0.630175,-0.034201,0.055363,0.221976
